Date,Open,High,Low,Close,Column1
2017-10-01,"7,507.99","7,565.11","7,437.42","7,493.08",100.00
2017-11-01,"7,493.08","7,582.85","7,326.67","7,326.67",99.80
2017-12-01,"7,326.67","7,697.62","7,288.73","7,687.77",97.58
2018-01-01,"7,687.77","7,792.56","7,521.77","7,533.55",102.39
2018-02-01,"7,533.55","7,554.73","7,073.03","7,231.91",100.34
2018-03-01,"7,231.91","7,254.87","6,866.94","7,056.61",96.32
2018-04-01,"7,056.61","7,546.16","6,971.75","7,509.30",93.99
2018-05-01,"7,509.30","7,903.50","7,492.39","7,678.20",100.02
2018-06-01,"7,678.20","7,793.45","7,508.32","7,636.93",102.27
2018-07-01,"7,636.93","7,782.90","7,540.71","7,748.76",101.72
2018-08-01,"7,748.76","7,790.17","7,428.67","7,432.42",103.21
2018-09-01,"7,432.42","7,552.02","7,220.50","7,510.20",98.99
2018-10-01,"7,510.28","7,510.28","6,851.59","7,128.10",100.03
2018-11-01,"7,128.10","7,196.39","6,904.21","6,980.24",94.94
2018-12-01,"6,980.24","7,145.49","6,536.53","6,728.13",92.97
2019-01-01,"6,728.13","7,001.94","6,599.48","6,968.85",89.61
2019-02-01,"6,968.85","7,261.63","6,968.85","7,074.73",92.82
2019-03-01,"7,074.73","7,370.61","7,074.73","7,279.19",94.23
2019-04-01,"7,279.19","7,528.93","7,279.19","7,418.22",96.95
2019-05-01,"7,385.26","7,446.46","7,130.85","7,161.71",98.37
2019-06-01,"7,161.71","7,469.19","7,079.71","7,425.63",95.39
2019-07-01,"7,425.63","7,727.49","7,425.63","7,586.78",98.90
2019-08-01,"7,586.78","7,609.98","7,020.22","7,207.18",101.05
2019-09-01,"7,207.18","7,440.77","7,199.40","7,408.21",95.99
2019-10-01,"7,155.38","7,346.92","7,130.52","7,248.38",95.30
2019-11-01,"7,248.38","7,446.00","7,197.33","7,346.53",96.54
2019-12-01,"7,346.53","7,665.40","7,131.16","7,542.44",97.85
2020-01-01,"7,542.44","7,689.67","7,275.03","7,286.01",100.46
2020-02-01,"7,286.01","7,547.65","6,460.08","6,580.61",97.04
2020-03-01,"6,580.61","6,856.27","4,898.79","5,671.96",87.65
2020-04-01,"5,671.96","6,151.58","5,395.07","5,901.21",75.55
2020-05-01,"5,901.21","6,234.04","5,661.14","6,076.60",78.60
2020-06-01,"6,076.60","6,511.84","5,952.44","6,169.74",80.94
2020-07-01,"6,169.74","6,323.55","5,897.76","5,897.76",82.18
2020-08-01,"5,897.76","6,297.20","5,857.06","5,963.57",78.55
2020-09-01,"5,963.57","6,123.69","5,771.49","5,866.10",79.43
2020-10-01,"5,902.12","6,040.47","5,525.52","5,577.27",78.61
2020-11-01,"5,577.27","6,468.73","5,554.73","6,266.19",74.28
2020-12-01,"6,266.19","6,676.60","6,263.60","6,460.52",83.46
2021-01-01,"6,460.52","6,903.61","6,397.24","6,407.46",86.05
2021-02-01,"6,407.46","6,799.92","6,407.46","6,483.43",85.34
2021-03-01,"6,483.43","6,812.78","6,483.43","6,713.63",86.35
2021-04-01,"6,713.63","7,040.26","6,713.63","6,969.81",89.42
2021-05-01,"6,969.81","7,164.18","6,823.60","7,022.61",92.83
2021-06-01,"7,022.61","7,217.54","6,948.63","7,037.47",93.54
2021-07-01,"7,037.47","7,170.60","6,813.03","7,032.30",93.73
2021-08-01,"7,032.30","7,224.46","6,993.06","7,119.70",93.66
2021-09-01,"7,119.70","7,195.62","6,828.28","7,086.42",94.83
2021-10-01,"7,011.01","7,281.17","6,945.50","7,237.57",93.38
2021-11-01,"7,237.57","7,402.68","6,989.66","7,059.45",96.40
2021-12-01,"7,059.45","7,457.14","7,059.35","7,384.54",94.03
2022-01-01,"7,384.54","7,619.01","7,283.38","7,464.37",98.36
2022-02-01,"7,464.37","7,687.27","7,204.74","7,458.25",99.42
2022-03-01,"7,458.25","7,595.42","6,787.98","7,515.68",99.34
2022-04-01,"7,515.68","7,669.56","7,339.53","7,544.55",100.10
2022-05-01,"7,544.55","7,648.26","7,158.53","7,607.66",100.49
2022-06-01,"7,607.66","7,646.66","6,998.17","7,169.28",101.33
2022-07-01,"7,169.28","7,441.20","7,007.09","7,423.43",95.49
2022-08-01,"7,450.24","7,578.85","7,263.62","7,284.15",99.23
2022-09-01,"7,284.15","7,514.04","6,829.29","6,893.81",97.02
2022-10-01,"6,893.81","7,088.17","6,797.37","7,052.62",91.82
