date,value,value2
2013-11-01,,100000
2013-12-01,,101917.028
2014-01-01,,103865.635
2014-02-01,,105846.312
2014-03-01,,107859.559
2014-04-01,,109905.881
2014-05-01,,111985.792
2014-06-01,,114099.814
2014-07-01,,116248.477
2014-08-01,,118432.317
2014-09-01,,120207.88
2014-10-01,,122456.231
2014-11-01,,124741.303
2014-12-01,,127063.667
2015-01-01,,129423.898
2015-02-01,,131822.584
2015-03-01,,134260.319
2015-04-01,,136737.707
2015-05-01,,139255.362
2015-06-01,,141813.905
2015-07-01,,144413.969
2015-08-01,,147056.194
2015-09-01,,149741.231
2015-10-01,,152679.059
2015-11-01,,155666.287
2015-12-01,,158703.688
2016-01-01,,161792.049
2016-02-01,,164932.166
2016-03-01,,168124.85
2016-04-01,,171370.924
2016-05-01,,174671.22
2016-06-01,,178026.588
2016-07-01,,181437.886
2016-08-01,,184905.988
2016-09-01,,188431.78
2016-10-01,,192416.066
2016-11-01,,196471.668
2016-12-01,,200599.737
2017-01-01,,204801.439
2017-02-01,,209077.96
2017-03-01,,213430.503
2017-04-01,,217860.289
2017-05-01,,222368.559
2017-06-01,,226956.574
2017-07-01,,231625.611
2017-08-01,,236376.97
2017-09-01,,241211.97
2017-10-01,,246131.949
2017-11-01,100000,251138.267
2017-12-01,101844.32,255770.061
2018-01-01,103718.858,260477.742
2018-02-01,105624.08,265262.484
2018-03-01,107560.463,270125.482
2018-04-01,109528.489,275067.948
2018-05-01,111528.647,280091.111
2018-06-01,113561.435,285196.22
2018-07-01,115627.358,290384.542
2018-08-01,117726.927,295657.363
2018-09-01,119662.232,300517.655
2018-10-01,121627.312,305452.723
2018-11-01,123622.615,310463.693
2018-12-01,125648.597,315551.71
2019-01-01,127705.72,320717.932
2019-02-01,129794.452,325963.537
2019-03-01,131915.269,331289.721
2019-04-01,134068.655,336697.695
2019-05-01,136255.098,342188.691
2019-06-01,138475.096,347763.956
2019-07-01,140729.155,353424.759
2019-08-01,143017.785,359172.386
2019-09-01,145341.507,365008.142
2019-10-01,143929.285,361461.513
2019-11-01,142675.692,358313.259
2019-12-01,141397.966,355104.401
2020-01-01,134298.886,337275.895
2020-02-01,131467.76,330165.854
2020-03-01,131436.45,330087.223
2020-04-01,133282.345,334722.972
2020-05-01,135154.702,339425.176
2020-06-01,137053.903,344194.797
2020-07-01,138980.339,349032.813
2020-08-01,140934.402,353940.214
2020-09-01,142916.493,358918.004
2020-10-01,144927.019,363967.204
2020-11-01,146966.391,369088.847
2020-12-01,149035.027,374283.983
2021-01-01,149746.932,376071.849
2021-02-01,150460.452,377863.77
2021-03-01,151602.85,380732.77
2021-04-01,152757.847,383633.41
2021-05-01,151669.946,380901.273
2021-06-01,150580.029,378164.074
2021-07-01,152700.648,383489.761
2021-08-01,154851.71,388891.899
2021-09-01,157033.654,394371.598
2021-10-01,160482.001,403031.717
2021-11-01,163994.317,411852.486
2021-12-01,167571.654,420836.547
2022-01-01,171077.122,429640.12
2022-02-01,174645.288,438601.149
2022-03-01,178042.257,447132.238
2022-04-01,181259.773,455212.652
2022-05-01,184529.354,463423.821
2022-06-01,187610.853,471162.644
2022-07-01,190497.492,478412.099
2022-08-01,193427.198,485769.714
2022-09-01,195910.087,492005.197
2022-10-01,198050.31,497380.115
2022-11-01,200221.239,502832.15
