date,value
2017-11-01,100000
2017-12-01,101844.32
2018-01-01,103718.858
2018-02-01,105624.08
2018-03-01,107560.463
2018-04-01,109528.489
2018-05-01,111528.647
2018-06-01,113561.435
2018-07-01,115627.358
2018-08-01,117726.927
2018-09-01,119662.232
2018-10-01,121627.312
2018-11-01,123622.615
2018-12-01,125648.597
2019-01-01,127705.72
2019-02-01,129794.452
2019-03-01,131915.269
2019-04-01,134068.655
2019-05-01,136255.098
2019-06-01,138475.096
2019-07-01,140729.155
2019-08-01,143017.785
2019-09-01,145341.507
2019-10-01,143929.285
2019-11-01,142675.692
2019-12-01,141397.966
2020-01-01,134298.886
2020-02-01,131467.76
2020-03-01,131436.45
2020-04-01,133282.345
2020-05-01,135154.702
2020-06-01,137053.903
2020-07-01,138980.339
2020-08-01,140934.402
2020-09-01,142916.493
2020-10-01,144927.019
2020-11-01,146966.391
2020-12-01,149035.027
2021-01-01,149746.932
2021-02-01,150460.452
2021-03-01,151602.85
2021-04-01,152757.847
2021-05-01,151669.946
2021-06-01,150580.029
2021-07-01,152700.648
2021-08-01,154851.71
2021-09-01,157033.654
2021-10-01,160482.001
2021-11-01,163994.317
2021-12-01,167571.654
2022-01-01,171077.122
2022-02-01,174645.288
2022-03-01,178042.257
2022-04-01,181259.773
2022-05-01,184529.354
2022-06-01,187610.853
2022-07-01,190497.492
2022-08-01,193427.198
2022-09-01,195910.087
2022-10-01,198050.31
2022-11-01,200221.239
