date,FTSE,Merton,SP500
11/1/2017,100000,100000,100000
12/1/2017,102627.416,101844.32,100000
1/1/2018,101736.71,103718.858,100000
2/1/2018,100361.4589,105624.08,100000
3/1/2018,98209.7639,107560.463,100000
4/1/2018,111584.8764,109528.489,100000
5/1/2018,110131.2568,111528.647,100000
6/1/2018,115460.2482,113561.435,100000
7/1/2018,118172.7981,115627.358,100000
8/1/2018,116520.0862,117726.927,100000
9/1/2018,120876.5744,119662.232,100000
10/1/2018,116841.2559,121627.312,100000
11/1/2018,118436.3368,123622.615,100000
12/1/2018,129172.4088,125648.597,100000
1/1/2019,115939.7915,127705.72,100000
2/1/2019,142288.5818,129794.452,100000
3/1/2019,130439.2493,131915.269,100000
4/1/2019,137483.7265,134068.655,100000
5/1/2019,133989.7591,136255.098,100000
6/1/2019,136528.1256,138475.096,100000
7/1/2019,140728.2548,140729.155,100000
8/1/2019,142946.606,143017.785,100000
9/1/2019,147873.3318,145341.507,100000
10/1/2019,148412.4684,143929.285,100000
11/1/2019,145575.3481,142675.692,100000
12/1/2019,140748.0849,141397.966,100000
1/1/2020,142492.7856,134298.886,100000
2/1/2020,136183.4741,131467.76,100000
3/1/2020,122155.0243,131436.45,100000
4/1/2020,104032.5679,133282.345,100000
5/1/2020,145356.5779,135154.702,100000
6/1/2020,137463.7768,137053.903,100000
7/1/2020,140805.2369,138980.339,100000
8/1/2020,144223.3792,140934.402,100000
9/1/2020,141394.4784,142916.493,100000
10/1/2020,139277.5533,144927.019,100000
11/1/2020,140329.547,146966.391,100000
12/1/2020,161265.6609,149035.027,100000
1/1/2021,153142.486,149746.932,100000
2/1/2021,149504.0055,150460.452,100000
3/1/2021,155060.1905,151602.85,100000
4/1/2021,159842.3406,152757.847,100000
5/1/2021,164809.0816,151669.946,100000
6/1/2021,152854.2009,150580.029,100000
7/1/2021,154706.8117,152700.648,100000
8/1/2021,158826.2528,154851.71,100000
9/1/2021,158168.9371,157033.654,100000
10/1/2021,148037.152,160482.001,100000
11/1/2021,171584.9402,163994.317,100000
12/1/2021,161903.3829,167571.654,100000
1/1/2022,182957.3124,171077.122,100000
2/1/2022,157883.2882,174645.288,100000
3/1/2022,167805.1307,178042.257,100000
4/1/2022,190261.9541,181259.773,100000
5/1/2022,173961.2087,184529.354,100000
6/1/2022,176552.4324,187610.853,100000
7/1/2022,173969.9493,190497.492,100000
8/1/2022,207152.7525,193427.198,100000
9/1/2022,181981.6697,195910.087,100000
10/1/2022,170076.5581,198050.31,100000
