date,Merton,FTSE 100,S&P 500,MSCI World,Nareit All REITS,UK Home Price Index
11/1/2017,100000,100000,100000,100000,100000,100000
12/1/2017,101844.32,97779.15,102808.26,101776.01,102627.42,99716.12
1/1/2018,103718.86,102598.26,103819.03,103304.34,102518.98,100105.73
2/1/2018,105624.08,100540.1,109651.45,109071.32,99200.42,99756.54
3/1/2018,107560.46,96514.52,105380.82,104321.21,92237,100017.33
4/1/2018,109528.49,94175.03,102547.7,101850.51,95688.09,99413.57
5/1/2018,111528.65,100216.47,102826.51,102631.79,96214.69,100363.41
6/1/2018,113561.44,102470.55,105048.42,102446.54,99606.45,100773.91
7/1/2018,115627.36,101919.77,105557.11,101727.68,103651.14,101449.63
8/1/2018,117726.93,103412.22,109359.44,104671.58,104451.41,102707.78
9/1/2018,119662.23,99190.45,112669.01,105287.75,107245.89,103023.65
10/1/2018,121627.31,100228.48,113152.85,105563.61,104717.61,102826.4
11/1/2018,123622.62,95129.11,105299.66,97573.6,101970.29,102718.44
12/1/2018,125648.6,93155.82,107180.25,98840.16,106548.03,102279.96
1/1/2019,127705.72,89791.25,97343.57,91752.25,98315.12,102060.05
2/1/2019,129794.45,93003.81,105002.99,98906.61,109541.84,101431.41
3/1/2019,131915.27,94416.85,108124.62,101381.34,110086.01,101175.52
4/1/2019,134068.66,97145.5,110062.67,102402.24,114733.01,100893.86
5/1/2019,136255.1,99000.94,114389.62,105682.41,114665.49,101624.67
6/1/2019,138475.1,95577.65,106865.33,99093.87,114895.26,101763.28
7/1/2019,140729.16,99099.84,114231.57,105400.51,116764.76,102202.21
8/1/2019,143017.79,101250.49,115731.23,105583.75,118604.6,103343.52
9/1/2019,145341.51,96184.48,113637.46,102871.41,122631.3,103675.83
10/1/2019,143929.29,98867.35,115589.88,104838.71,125222.43,103751.36
11/1/2019,142675.69,96734.32,117951.59,107609.44,126654.54,103477.24
12/1/2019,141397.97,98044.2,121967.49,110084.17,124943.37,103111.62
1/1/2020,134298.89,100658.74,125454.52,113817.41,125910.79,102976.56
2/1/2020,131467.76,97236.52,125250.27,112484.39,127677.67,103042.31
3/1/2020,131436.45,87822.5,114715.41,103249.97,118633.41,102451
4/1/2020,133282.35,75695.98,100362.29,89072.13,93898.89,103372.84
5/1/2020,135154.7,78755.47,113092.66,98499.86,102405.34,102321.72
6/1/2020,137053.9,81096.16,118213.69,102587.49,104154.9,102850.39
7/1/2020,138980.34,82339.17,120387.46,105696.51,107005.74,104269.81
8/1/2020,140934.4,78709.42,127020.96,111129.23,111042.53,105151.23
9/1/2020,142916.49,79587.7,135920.64,117768.11,111405.04,106177.92
10/1/2020,144927.02,78286.9,130588.76,113799.28,108568.44,107307.68
11/1/2020,146966.39,74432.28,126975.92,110950.02,105124.36,108211.31
12/1/2020,149035.03,83626.36,140631.63,124495.59,115352.55,109317.52
1/1/2021,149746.93,86219.82,145852.07,130133.7,118531.72,110169.62
2/1/2021,150460.45,85511.7,144227.77,129457.13,118339.43,110927.98
3/1/2021,151602.85,86525.57,147990.88,132324.51,121957.18,110881.77
4/1/2021,152757.85,89597.74,154271.41,135574.48,128585.45,112623.28
5/1/2021,151669.95,93016.62,162359.14,141321.33,138729.72,111158.99
6/1/2021,150580.03,93721.27,163249.92,143258.43,139812.93,111636.58
7/1/2021,152700.65,93919.59,166876.35,144974.02,143644.63,118029.96
8/1/2021,154851.71,93850.59,170672.48,145827.8,149406.96,112381.16
9/1/2021,157033.65,95017,175620.33,149263.02,152607.54,115763.78
10/1/2021,160482,94572.86,167266.22,142867.79,143864.62,119697.72
11/1/2021,163994.32,96590.05,178831.65,150060.41,153817.88,117706.54
12/1/2021,167571.65,94212.93,177341.32,146294.95,151856.69,119624.42
1/1/2022,171077.12,98551.46,185075.68,151993.48,165799.48,120082.46
2/1/2022,174645.29,99616.85,175343.46,144452.5,153012.68,121209.55
3/1/2022,178042.26,99535.17,169844.6,140554.15,147019.77,121681.36
4/1/2022,181259.77,100301.61,175920.49,143280.58,157110.29,122544.56
5/1/2022,184529.35,100686.9,160447.1,131623.78,150784.12,124112.81
6/1/2022,187610.85,101529.14,160455.64,131450.61,144265.95,125612.64
7/1/2022,190497.49,95678.68,146990.21,120166.32,133776.58,127252.86
8/1/2022,193427.2,99070.48,160383.42,128412.07,145472.73,129777.16
9/1/2022,195910.09,97211.69,153576.73,123456.57,136864.77,128500
10/1/2022,198050.31,92002.35,139233.32,111427.25,118817.21,11000
