date,Attribute,Value
2017-11-01,Merton,100000
2017-11-01,FTSE100,100000
2017-11-01,SP500,100000
2017-11-01,MSCI World,100000
2017-11-01,Nareit All REITS,100000
2017-11-01,UK Home Price Index,100000
2017-12-01,Merton,101844.32
2017-12-01,FTSE100,97779.15
2017-12-01,SP500,102808.26
2017-12-01,MSCI World,101776.01
2017-12-01,Nareit All REITS,102627.42
2017-12-01,UK Home Price Index,99716.12
2018-01-01,Merton,103718.86
2018-01-01,FTSE100,102598.26
2018-01-01,SP500,103819.03
2018-01-01,MSCI World,103304.34
2018-01-01,Nareit All REITS,102518.98
2018-01-01,UK Home Price Index,100105.73
2018-02-01,Merton,105624.08
2018-02-01,FTSE100,100540.1
2018-02-01,SP500,109651.45
2018-02-01,MSCI World,109071.32
2018-02-01,Nareit All REITS,99200.42
2018-02-01,UK Home Price Index,99756.54
2018-03-01,Merton,107560.46
2018-03-01,FTSE100,96514.52
2018-03-01,SP500,105380.82
2018-03-01,MSCI World,104321.21
2018-03-01,Nareit All REITS,92237
2018-03-01,UK Home Price Index,100017.33
2018-04-01,Merton,109528.49
2018-04-01,FTSE100,94175.03
2018-04-01,SP500,102547.7
2018-04-01,MSCI World,101850.51
2018-04-01,Nareit All REITS,95688.09
2018-04-01,UK Home Price Index,99413.57
2018-05-01,Merton,111528.65
2018-05-01,FTSE100,100216.47
2018-05-01,SP500,102826.51
2018-05-01,MSCI World,102631.79
2018-05-01,Nareit All REITS,96214.69
2018-05-01,UK Home Price Index,100363.41
2018-06-01,Merton,113561.44
2018-06-01,FTSE100,102470.55
2018-06-01,SP500,105048.42
2018-06-01,MSCI World,102446.54
2018-06-01,Nareit All REITS,99606.45
2018-06-01,UK Home Price Index,100773.91
2018-07-01,Merton,115627.36
2018-07-01,FTSE100,101919.77
2018-07-01,SP500,105557.11
2018-07-01,MSCI World,101727.68
2018-07-01,Nareit All REITS,103651.14
2018-07-01,UK Home Price Index,101449.63
2018-08-01,Merton,117726.93
2018-08-01,FTSE100,103412.22
2018-08-01,SP500,109359.44
2018-08-01,MSCI World,104671.58
