date,index_5Yr,index_inception,annualized_nav_yield %,nav,annualized_total_yield_%,capital_cost_(mortgage_rate)_%,total_asset_value_(leverage_ratio_55%),annualized_capital_gain_%,rental_income,property_cost_(-),distribution,distribution_rate_%,annualized_distribution_rate_%,
2013-11-01,,100000.000,,590000.00,,0.50,1311111.11,8.21,3000.00,180.00,2820.00,0.48,5.89,
2013-12-01,,101917.028,14.54,596712.21,25.59,0.50,1326027.13,8.21,3000.00,180.00,2820.00,0.47,5.82,
2014-01-01,,103865.635,14.47,603468.70,25.52,0.50,1341041.55,8.21,3000.00,180.00,2820.00,0.47,5.75,
2014-02-01,,105846.312,14.39,610269.76,25.44,0.50,1356155.02,8.21,3000.00,180.00,2820.00,0.46,5.69,
2014-03-01,,107859.559,14.32,617115.69,25.37,0.50,1371368.20,8.21,3000.00,180.00,2820.00,0.46,5.62,
2014-04-01,,109905.881,14.25,624006.78,25.30,0.50,1386681.73,8.21,3000.00,180.00,2820.00,0.45,5.56,
2014-05-01,,111985.792,14.19,630943.33,25.23,0.50,1402096.29,8.21,3000.00,180.00,2820.00,0.45,5.50,
2014-06-01,,114099.814,14.12,637925.64,25.16,0.50,1417612.53,8.21,3000.00,180.00,2820.00,0.44,5.44,
2014-07-01,,116248.477,14.05,644954.01,25.09,0.50,1433231.14,8.21,3000.00,180.00,2820.00,0.44,5.37,
2014-08-01,,118432.317,13.99,652028.75,25.02,0.50,1448952.78,8.21,3000.00,1280.00,1720.00,0.26,3.21,
2014-09-01,,120207.880,11.66,658050.16,19.55,0.50,1462333.69,8.21,3000.00,180.00,2820.00,0.43,5.27,
2014-10-01,,122456.231,13.87,665211.30,24.90,0.50,1478247.32,8.21,3000.00,180.00,2820.00,0.42,5.21,
2014-11-01,,124741.303,13.81,672419.67,24.84,0.50,1494265.93,8.21,3000.00,180.00,2820.00,0.42,5.15,
2014-12-01,,127063.667,13.75,679675.60,24.78,0.50,1510390.22,8.21,3000.00,180.00,2820.00,0.41,5.09,
2015-01-01,,129423.898,13.69,686979.40,24.71,0.50,1526620.88,8.21,3000.00,180.00,2820.00,0.41,5.04,
2015-02-01,,131822.584,13.63,694331.37,24.65,0.50,1542958.61,8.21,3000.00,180.00,2820.00,0.41,4.98,
2015-03-01,,134260.319,13.57,701731.85,24.59,0.50,1559404.12,8.21,3000.00,180.00,2820.00,0.40,4.93,
2015-04-01,,136737.707,13.51,709181.15,24.53,0.50,1575958.12,8.21,3000.00,180.00,2820.00,0.40,4.88,
2015-05-01,,139255.362,13.45,716679.60,24.48,0.50,1592621.33,8.21,3000.00,180.00,2820.00,0.39,4.83,
2015-06-01,,141813.905,13.40,724227.51,24.42,0.50,1609394.46,8.21,3000.00,180.00,2820.00,0.39,4.77,
2015-07-01,,144413.969,13.34,731825.21,24.36,0.50,1626278.24,8.21,3000.00,180.00,2820.00,0.39,4.72,
2015-08-01,,147056.194,13.29,739473.03,24.31,0.50,1643273.41,8.21,3000.00,180.00,2820.00,0.38,4.67,
2015-09-01,,149741.231,13.23,747171.31,24.25,0.50,1660380.69,8.21,3500.00,210.00,3290.00,0.44,5.41,
2015-10-01,,152679.059,14.03,755390.37,26.26,0.50,1678645.28,8.21,3500.00,210.00,3290.00,0.44,5.35,
2015-11-01,,155666.287,13.96,763663.66,26.18,0.50,1697030.35,8.21,3500.00,210.00,3290.00,0.43,5.29,
2015-12-01,,158703.688,13.90,771991.52,26.10,0.50,1715536.71,8.21,3500.00,210.00,3290.00,0.43,5.24,
2016-01-01,,161792.049,13.84,780374.32,26.02,0.50,1734165.16,8.21,3500.00,210.00,3290.00,0.42,5.18,
2016-02-01,,164932.166,13.78,788812.42,25.94,0.50,1752916.49,8.21,3500.00,210.00,3290.00,0.42,5.12,
2016-03-01,,168124.850,13.71,797306.19,25.87,0.50,1771791.53,8.21,3500.00,210.00,3290.00,0.41,5.07,
